ID	lnL
ORTHOMCL10000	 -2710.681733
ORTHOMCL10001	 -1525.456137
ORTHOMCL10002	 -4444.261462
ORTHOMCL10003	 -3585.704530
ORTHOMCL10004	  -893.470209
ORTHOMCL10005	 -2703.314226
ORTHOMCL10006	 -1346.767050
ORTHOMCL10007	 -1370.835095
ORTHOMCL10009	 -1372.345846
ORTHOMCL10010	 -1740.585530
ORTHOMCL10011	 -1383.975143
ORTHOMCL10012	  -965.495544
ORTHOMCL10013	  -938.094050
ORTHOMCL10014	  -754.569410
ORTHOMCL10018	  -183.286778
ORTHOMCL10019	 -1293.036396
ORTHOMCL10020	 -1831.824962
ORTHOMCL10021	 -1393.050446
ORTHOMCL10022	 -2270.116725
ORTHOMCL10025	 -2106.066602
ORTHOMCL10026	 -2348.105051
ORTHOMCL10027	 -2612.453673
ORTHOMCL10028	 -1084.305402
ORTHOMCL10029	 -1088.627027
ORTHOMCL1003	 -8803.640059
ORTHOMCL10030	 -2183.262945
ORTHOMCL10032	  -724.832538
ORTHOMCL10033	 -1167.696873
ORTHOMCL10034	  -790.924302
ORTHOMCL10035	 -2492.589535
ORTHOMCL10036	 -1905.839987
ORTHOMCL10037	 -3038.850536
ORTHOMCL10038	 -2068.763619
ORTHOMCL10039	 -1706.433478
ORTHOMCL10040	 -3022.867982
ORTHOMCL10041	 -3016.369687
ORTHOMCL10042	 -1470.288639
ORTHOMCL10043	  -714.827034
ORTHOMCL10045	 -1336.852498
ORTHOMCL10046	 -1056.935438
ORTHOMCL10047	 -1268.603262
ORTHOMCL10048	 -1593.522962
ORTHOMCL10049	 -1667.273062
ORTHOMCL10050	  -938.827471
ORTHOMCL10051	  -770.826828
ORTHOMCL10052	  -515.380619
ORTHOMCL10053	 -2090.128668
ORTHOMCL10054	  -742.518129
ORTHOMCL10055	  -492.094968
ORTHOMCL10056	 -2398.380936
ORTHOMCL10057	 -3140.467193
ORTHOMCL10058	 -1193.439524
ORTHOMCL10059	  -586.375871
ORTHOMCL1006	 -2415.047792
ORTHOMCL10060	  -535.751557
ORTHOMCL10062	  -943.527868
ORTHOMCL10063	  -727.122070
ORTHOMCL10064	 -2213.409353
ORTHOMCL10065	 -1820.849086
ORTHOMCL10066	  -509.349769
ORTHOMCL10067	 -5673.213187
ORTHOMCL10068	   -22.670816
ORTHOMCL10069	 -4487.190689
ORTHOMCL10071	 -1323.992039
ORTHOMCL10072	  -491.359129
ORTHOMCL10073	 -1000.304051
ORTHOMCL10074	 -3077.708262
ORTHOMCL10078	 -3610.773739
ORTHOMCL10079	 -4812.048727
ORTHOMCL1008	 -1732.624355
ORTHOMCL10080	 -3400.063716
ORTHOMCL10082	  -494.448817
ORTHOMCL10083	 -3913.495729
ORTHOMCL10084	 -2977.792683
ORTHOMCL10085	  -701.319944
ORTHOMCL10086	 -2846.702370
ORTHOMCL10087	 -2876.587795
ORTHOMCL1009	 -2862.195343
ORTHOMCL10090	  -511.181398
ORTHOMCL10091	 -2253.321571
ORTHOMCL10092	 -2587.027970
ORTHOMCL10093	  -648.165601
ORTHOMCL10094	  -908.529143
ORTHOMCL10095	 -2126.516502
ORTHOMCL10096	 -1103.416495
ORTHOMCL10097	 -2927.843133
ORTHOMCL10098	 -1550.997259
ORTHOMCL10099	 -2919.468026
ORTHOMCL1010	 -1028.332627
ORTHOMCL10100	 -1914.063906
ORTHOMCL10101	  -598.393430
ORTHOMCL10102	 -3528.702067
ORTHOMCL10103	 -2380.544433
ORTHOMCL10104	 -1474.047651
ORTHOMCL10105	 -1933.342933
ORTHOMCL10107	 -1296.563348
ORTHOMCL10108	 -2635.773741
ORTHOMCL10109	 -3352.667372
ORTHOMCL10110	 -2434.621546
ORTHOMCL10111	 -1095.027669
ORTHOMCL10112	 -1859.283137
ORTHOMCL10113	 -1903.279143
ORTHOMCL10114	 -1279.180137
ORTHOMCL10115	 -7149.914317
ORTHOMCL10116	  -679.884722
ORTHOMCL10117	 -1836.466557
ORTHOMCL10118	 -2286.943357
ORTHOMCL10119	 -3065.482757
ORTHOMCL1012	 -7690.901916
ORTHOMCL10121	 -1968.689217
ORTHOMCL10122	 -1171.391999
ORTHOMCL10123	 -2487.613173
ORTHOMCL10124	 -1237.099127
ORTHOMCL10125	 -2744.187985
ORTHOMCL10128	  -814.606974
ORTHOMCL10129	  -498.039331
ORTHOMCL1013	 -9332.261220
ORTHOMCL10130	 -2249.899034
ORTHOMCL10131	 -4304.441862
ORTHOMCL10132	 -1956.425501
ORTHOMCL10133	  -696.106850
ORTHOMCL10137	 -2698.575229
ORTHOMCL10138	 -3380.844161
ORTHOMCL10139	 -1837.411362
ORTHOMCL10140	  -471.602205
ORTHOMCL10142	 -2001.948471
ORTHOMCL10143	 -1776.574233
ORTHOMCL10144	 -1125.682017
ORTHOMCL10146	  -409.421746
ORTHOMCL10147	 -1262.737300
ORTHOMCL10148	 -4340.085012
ORTHOMCL10149	 -1551.975006
ORTHOMCL10150	   -55.029425
ORTHOMCL10151	  -372.850594
ORTHOMCL10152	 -1188.386614
ORTHOMCL10154	 -4509.051683
ORTHOMCL10155	 -2550.283801
ORTHOMCL10156	 -1934.543385
ORTHOMCL10157	 -1069.328598
ORTHOMCL10158	 -1840.548400
ORTHOMCL1016	 -1971.594815
ORTHOMCL10160	  -955.214159
ORTHOMCL10161	  -927.586032
ORTHOMCL10162	 -1597.618906
ORTHOMCL10163	  -637.088277
ORTHOMCL10164	  -371.921273
ORTHOMCL10165	  -808.783808
ORTHOMCL10166	 -2568.237890
ORTHOMCL10167	 -1513.650922
ORTHOMCL10168	 -4043.652675
ORTHOMCL10169	  -737.442685
ORTHOMCL10170	 -2105.104154
ORTHOMCL10171	  -807.386222
ORTHOMCL10172	 -2274.227086
ORTHOMCL10174	 -2083.565548
ORTHOMCL10175	 -1396.764533
ORTHOMCL10176	  -847.772945
ORTHOMCL10177	 -1550.842760
ORTHOMCL10178	  -859.227763
ORTHOMCL10179	 -1784.690038
ORTHOMCL1018	  -995.918154
ORTHOMCL10180	 -2532.970957
ORTHOMCL10181	 -3160.448676
ORTHOMCL10182	  -356.552619
ORTHOMCL10183	 -2526.183836
ORTHOMCL10184	 -1874.292076
ORTHOMCL10185	  -851.469941
ORTHOMCL10187	  -873.880919
ORTHOMCL10188	 -2839.962417
ORTHOMCL10189	 -3216.408901
ORTHOMCL1019	 -4215.270590
ORTHOMCL10190	 -1174.626204
ORTHOMCL10191	 -4309.759203
ORTHOMCL10192	 -1617.641311
ORTHOMCL10194	 -2354.246371
ORTHOMCL10195	 -1645.049679
ORTHOMCL10196	 -1256.341928
ORTHOMCL10197	  -804.242043
ORTHOMCL10199	 -3509.395940
ORTHOMCL102	 -4604.489511
ORTHOMCL10200	 -2083.365526
ORTHOMCL10201	  -843.358170
ORTHOMCL10202	 -1384.075697
ORTHOMCL10203	   -28.853953
ORTHOMCL10204	 -1105.529774
ORTHOMCL10205	 -1232.474070
ORTHOMCL10206	  -871.041271
ORTHOMCL10207	  -935.170160
ORTHOMCL10208	 -2297.221795
ORTHOMCL10209	 -1614.245880
ORTHOMCL10210	 -4809.226271
ORTHOMCL10211	  -744.962010
ORTHOMCL10212	  -906.188071
ORTHOMCL10213	 -4994.311640
ORTHOMCL10214	 -3217.436365
ORTHOMCL10215	 -1106.881213
ORTHOMCL10217	  -801.428734
ORTHOMCL10218	 -1080.052941
ORTHOMCL10219	 -1788.492726
ORTHOMCL1022	 -2085.511034
ORTHOMCL10220	 -3971.828016
ORTHOMCL10221	  -614.996668
ORTHOMCL10222	 -1255.642038
ORTHOMCL10223	 -1664.284759
ORTHOMCL10224	 -9272.793241
ORTHOMCL10225	 -1458.831558
ORTHOMCL10226	 -2511.000902
ORTHOMCL10227	 -2003.526680
ORTHOMCL10228	 -1730.270645
ORTHOMCL10229	 -3536.972532
ORTHOMCL1023	 -1894.954610
ORTHOMCL10231	  -912.829773
ORTHOMCL10232	 -1739.238991
ORTHOMCL10233	 -1132.085504
ORTHOMCL10234	 -3802.839978
ORTHOMCL10235	 -1249.464794
ORTHOMCL10236	 -1243.928827
ORTHOMCL10237	 -1360.942295
ORTHOMCL10238	 -5150.875229
ORTHOMCL10239	 -1513.643972
ORTHOMCL1024	 -2624.064519
ORTHOMCL10240	 -3493.873585
ORTHOMCL10242	 -3171.571132
ORTHOMCL10243	 -2289.392303
ORTHOMCL10244	 -1535.056159
ORTHOMCL10245	 -4756.897332
ORTHOMCL10246	  -663.146726
ORTHOMCL10247	 -2905.277496
ORTHOMCL10248	  -516.300973
ORTHOMCL10249	 -1116.438336
ORTHOMCL1025	  -633.164606
ORTHOMCL10251	 -4547.611873
ORTHOMCL10252	 -1170.917746
ORTHOMCL10254	 -1104.842249
ORTHOMCL10255	 -2033.008657
ORTHOMCL10256	 -1704.803643
ORTHOMCL10257	  -330.526593
ORTHOMCL10259	 -1161.782402
ORTHOMCL10260	 -2480.998940
ORTHOMCL10261	  -633.919340
ORTHOMCL10262	  -434.357248
ORTHOMCL10263	 -1471.874726
ORTHOMCL10264	 -4958.601692
ORTHOMCL10265	  -615.683458
ORTHOMCL10267	 -1140.914223
ORTHOMCL10268	 -8475.277976
ORTHOMCL10269	 -3373.702821
ORTHOMCL10270	 -2601.240757
ORTHOMCL10271	  -875.176363
ORTHOMCL10273	 -1015.595577
ORTHOMCL10274	 -3177.790298
ORTHOMCL10275	 -1435.612595
ORTHOMCL10276	 -2999.123624
ORTHOMCL10277	 -2031.041981
ORTHOMCL10278	 -2228.553629
ORTHOMCL10279	 -1900.249411
ORTHOMCL10280	 -2411.067769
ORTHOMCL10281	 -1352.474633
ORTHOMCL10282	  -868.556636
ORTHOMCL10283	  -526.572818
ORTHOMCL10284	  -530.824988
ORTHOMCL10285	 -1142.756493
ORTHOMCL10286	  -324.273712
ORTHOMCL10287	 -1987.652271
ORTHOMCL1029	 -6720.801117
ORTHOMCL1032	 -3945.836573
ORTHOMCL1035	 -2593.082328
ORTHOMCL1038	 -3694.086545
ORTHOMCL104	 -5614.139803
ORTHOMCL1043	  -213.995394
ORTHOMCL1044	 -3289.056875
ORTHOMCL1045	  -587.871699
ORTHOMCL1046	 -4227.095623
ORTHOMCL1047	 -1080.584373
ORTHOMCL1048	 -2812.608353
ORTHOMCL1049	 -4640.622776
ORTHOMCL1050	 -2327.142131
ORTHOMCL1051	 -1662.758865
ORTHOMCL1053	 -1536.268525
ORTHOMCL1057	  -540.185031
ORTHOMCL1058	 -3013.999322
ORTHOMCL1060	 -3364.976478
ORTHOMCL1062	  -390.273632
ORTHOMCL1063	 -2802.431555
ORTHOMCL1065	 -2900.993675
ORTHOMCL1066	 -1884.365844
ORTHOMCL1068	 -3724.402657
ORTHOMCL1069	 -2313.384145
ORTHOMCL1070	 -3299.847364
ORTHOMCL1079	 -4883.622535
ORTHOMCL1080	 -2900.858522
ORTHOMCL1136	 -1182.801228
ORTHOMCL1139	 -2003.519420
ORTHOMCL1141	 -1786.089406
ORTHOMCL1142	 -4877.737594
ORTHOMCL1149	 -2241.312023
ORTHOMCL1152	 -5937.745981
ORTHOMCL1153	 -2212.758657
ORTHOMCL1154	 -1145.581886
ORTHOMCL1155	 -2578.727012
ORTHOMCL1157	 -4607.982763
ORTHOMCL1158	 -3175.202082
ORTHOMCL1161	 -5957.447425
ORTHOMCL1162	 -1482.707416
ORTHOMCL1165	 -2763.771789
ORTHOMCL1170	 -3595.339361
ORTHOMCL1171	 -2871.970965
ORTHOMCL1172	 -3599.224594
ORTHOMCL1173	 -1307.717157
ORTHOMCL1175	 -2807.364056
ORTHOMCL1176	 -2160.571183
ORTHOMCL1177	 -1458.671704
ORTHOMCL1178	 -2092.953518
ORTHOMCL1180	 -1169.824777
ORTHOMCL1183	 -2219.986136
ORTHOMCL1184	 -2714.075819
ORTHOMCL1186	  -984.500995
ORTHOMCL1193	  -914.307179
ORTHOMCL1194	 -1981.199029
ORTHOMCL1196	 -2817.480408
ORTHOMCL1197	 -1566.034730
