ID	lnL
ORTHOMCL3210	 -5313.380959
ORTHOMCL3212	 -4325.945930
ORTHOMCL3213	 -5412.165379
ORTHOMCL3214	 -12834.129877
ORTHOMCL3215	
ORTHOMCL3217	 -3559.081376
ORTHOMCL3218	 -4427.714593
ORTHOMCL3220	 -2572.037066
ORTHOMCL3221	 -4427.076439
ORTHOMCL3222	
ORTHOMCL3223	 -2569.550963
ORTHOMCL3224	 -2609.880158
ORTHOMCL3227	 -2928.705081
ORTHOMCL3230	 -1803.515199
ORTHOMCL3232	 -2969.993176
ORTHOMCL3233	 -1190.649963
ORTHOMCL3234	 -1718.486798
ORTHOMCL3235	 -2727.696848
ORTHOMCL3236	 -3409.268974
ORTHOMCL3239	 -1925.140483
ORTHOMCL3240	
ORTHOMCL3241	 -3955.820202
ORTHOMCL3243	
ORTHOMCL3244	 -5013.370267
ORTHOMCL3246	 -1729.108227
ORTHOMCL3247	 -2247.523639
ORTHOMCL3248	 -4690.913978
ORTHOMCL3249	 -4082.369029
ORTHOMCL3250	 -3059.944819
ORTHOMCL3251	 -3943.279031
ORTHOMCL3252	 -1592.535608
ORTHOMCL3254	 -2638.566242
ORTHOMCL3255	 -5121.951839
ORTHOMCL3256	 -3737.902979
ORTHOMCL3259	 -2392.253896
ORTHOMCL3260	 -1436.734395
ORTHOMCL3262	 -5917.075134
ORTHOMCL3263	 -2963.295360
ORTHOMCL3264	 -3159.981489
ORTHOMCL3265	 -1212.090364
ORTHOMCL3268	  -179.245292
ORTHOMCL3269	 -2937.298649
ORTHOMCL3270	 -7191.288976
ORTHOMCL3271	 -1759.292848
ORTHOMCL3272	 -1977.068582
ORTHOMCL3273	 -1496.362246
ORTHOMCL3275	 -1767.160182
ORTHOMCL3276	 -7012.385712
ORTHOMCL3278	 -4558.628021
ORTHOMCL3279	 -3183.854611
ORTHOMCL3280	 -2172.244882
ORTHOMCL3281	 -6591.053508
ORTHOMCL3282	 -1710.335325
ORTHOMCL3284	 -1881.969846
ORTHOMCL3285	  -905.004831
ORTHOMCL3286	 -3010.913535
ORTHOMCL3287	
ORTHOMCL3290	 -1568.969834
ORTHOMCL3291	 -1482.673279
ORTHOMCL3292	 -3756.028856
ORTHOMCL3293	 -3641.138106
ORTHOMCL3294	 -4580.857903
ORTHOMCL3295	 -4468.603440
ORTHOMCL3297	 -5978.188613
ORTHOMCL3298	 -7389.766864
ORTHOMCL3300	 -6208.657105
ORTHOMCL3301	 -1492.461783
ORTHOMCL3303	 -1936.036391
ORTHOMCL3304	 -1651.614902
ORTHOMCL3307	 -4062.680530
ORTHOMCL3309	 -2802.408203
ORTHOMCL3310	 -3340.786819
ORTHOMCL3313	 -1435.991557
ORTHOMCL3316	 -6300.072123
ORTHOMCL3317	 -2348.139707
ORTHOMCL3318	 -1690.453345
ORTHOMCL3319	 -1923.178360
ORTHOMCL3320	
ORTHOMCL3321	
ORTHOMCL3322	 -3423.647325
ORTHOMCL3323	 -2099.535694
ORTHOMCL3324	 -1944.167703
ORTHOMCL3326	 -1850.582590
ORTHOMCL3327	 -2780.717689
ORTHOMCL3328	 -2620.937155
ORTHOMCL3329	
ORTHOMCL3330	 -1678.569065
ORTHOMCL3331	 -2700.359891
ORTHOMCL3332	 -2492.268406
ORTHOMCL3333	 -3415.006615
ORTHOMCL3335	 -2686.461811
ORTHOMCL3336	 -5715.882345
ORTHOMCL3337	 -3746.947596
ORTHOMCL3338	 -1505.630323
ORTHOMCL3339	 -2032.331728
ORTHOMCL3340	 -2287.104970
ORTHOMCL3341	 -5663.669798
ORTHOMCL3342	 -3958.213134
ORTHOMCL3343	 -6050.629253
ORTHOMCL3344	 -5106.027110
ORTHOMCL3345	 -3261.095358
ORTHOMCL3346	 -1296.641839
ORTHOMCL3347	  -800.183718
ORTHOMCL3348	 -1734.578909
ORTHOMCL3349	 -2867.270014
ORTHOMCL3350	
ORTHOMCL3351	 -1238.812352
ORTHOMCL3352	 -1761.547397
ORTHOMCL3353	 -2361.445954
ORTHOMCL3354	 -2486.068479
ORTHOMCL3355	 -3107.354572
ORTHOMCL3357	 -7887.001560
ORTHOMCL3358	 -2096.834071
ORTHOMCL3360	  -961.903625
ORTHOMCL3361	 -8379.005486
ORTHOMCL3362	 -1527.258407
ORTHOMCL3363	 -7103.222545
ORTHOMCL3364	 -4209.215199
ORTHOMCL3366	 -5458.578567
ORTHOMCL3367	 -2468.670511
ORTHOMCL3368	 -6087.722720
ORTHOMCL3369	 -2218.621858
ORTHOMCL3371	 -4462.641590
ORTHOMCL3374	  -647.221231
ORTHOMCL3376	 -1349.311040
ORTHOMCL3377	 -4984.573049
ORTHOMCL3379	 -1111.445820
ORTHOMCL3380	 -1209.196017
ORTHOMCL3381	 -1289.074914
ORTHOMCL3382	
ORTHOMCL3384	 -3846.328134
ORTHOMCL3385	 -3482.510993
ORTHOMCL3387	 -2608.327113
ORTHOMCL3388	 -8746.387093
ORTHOMCL3389	 -2564.447156
ORTHOMCL3391	 -2599.892068
ORTHOMCL3392	 -5519.382837
ORTHOMCL3394	 -3358.648507
ORTHOMCL3395	 -3314.370577
ORTHOMCL3396	 -1242.779208
ORTHOMCL3398	 -7682.536046
ORTHOMCL3399	   -77.604005
ORTHOMCL3402	 -1398.631511
ORTHOMCL3403	 -4629.768328
ORTHOMCL3406	 -10925.678678
ORTHOMCL3408	 -8202.799282
ORTHOMCL3409	  -750.109917
ORTHOMCL3410	
ORTHOMCL3411	 -3530.350128
ORTHOMCL3415	 -4079.958134
ORTHOMCL3416	 -2638.836050
ORTHOMCL3417	 -6366.265425
ORTHOMCL3419	 -5556.448077
ORTHOMCL3422	 -2541.652220
ORTHOMCL3423	 -2093.202877
ORTHOMCL3424	 -1373.285990
ORTHOMCL3425	 -8971.726036
ORTHOMCL3427	 -2145.796279
ORTHOMCL3429	 -8088.399154
ORTHOMCL3430	 -2859.061960
ORTHOMCL3431	 -1962.265006
ORTHOMCL3433	 -2873.698082
ORTHOMCL3435	 -9152.420350
ORTHOMCL3436	 -2578.758958
ORTHOMCL3439	
ORTHOMCL3440	 -2477.459383
ORTHOMCL3441	 -2517.249668
ORTHOMCL3442	
ORTHOMCL3444	 -1084.622013
ORTHOMCL3445	 -4647.869549
ORTHOMCL3446	 -13431.876635
ORTHOMCL3447	 -1879.790555
ORTHOMCL3448	 -2476.844932
ORTHOMCL3449	 -6194.780867
ORTHOMCL3450	 -3456.002621
ORTHOMCL3451	 -5842.213141
ORTHOMCL3452	
ORTHOMCL3454	 -1017.409075
ORTHOMCL3455	 -2140.059684
ORTHOMCL3457	 -19689.272665
ORTHOMCL3459	
ORTHOMCL3460	 -3376.742085
ORTHOMCL3461	 -4390.139604
ORTHOMCL3462	 -2218.384965
ORTHOMCL3463	 -2227.794670
ORTHOMCL3464	 -8815.982561
ORTHOMCL3465	 -5863.444144
ORTHOMCL3466	 -4512.141769
ORTHOMCL3468	 -5499.928459
ORTHOMCL3469	 -1953.436714
ORTHOMCL3471	 -3081.130536
ORTHOMCL3473	 -10070.899031
ORTHOMCL3474	 -4502.938954
ORTHOMCL3475	 -3481.859019
ORTHOMCL3476	 -3003.796891
ORTHOMCL3477	 -1212.103373
ORTHOMCL3478	 -1142.735457
ORTHOMCL3479	 -3742.417560
ORTHOMCL3480	 -4233.901292
ORTHOMCL3481	 -3041.755843
ORTHOMCL3482	 -1735.554117
ORTHOMCL3483	 -3481.758370
ORTHOMCL3484	 -4159.596146
ORTHOMCL3485	 -7364.673089
ORTHOMCL3486	 -1371.526403
ORTHOMCL3487	 -1898.483623
ORTHOMCL3488	 -2209.187487
ORTHOMCL3489	
ORTHOMCL3490	 -2452.757194
ORTHOMCL3491	 -1982.859563
ORTHOMCL3492	 -1770.924124
ORTHOMCL3493	 -2815.475650
ORTHOMCL3494	 -4237.192696
ORTHOMCL3495	 -2691.362288
ORTHOMCL3496	 -2104.068238
ORTHOMCL3497	 -3673.389892
ORTHOMCL3498	 -3032.879894
ORTHOMCL3500	 -2248.509625
ORTHOMCL3501	 -5454.660003
ORTHOMCL3502	 -2532.150305
ORTHOMCL3503	 -4494.952492
ORTHOMCL3505	 -4860.960459
ORTHOMCL3507	 -8726.123328
ORTHOMCL3508	 -1125.745360
ORTHOMCL3510	 -3688.324893
ORTHOMCL3512	 -6808.789032
ORTHOMCL3513	 -10928.650154
ORTHOMCL3515	 -2442.054243
ORTHOMCL3516	 -4950.062784
ORTHOMCL3517	 -1414.128680
ORTHOMCL3518	 -8921.606385
ORTHOMCL3519	
ORTHOMCL3520	 -1078.767361
ORTHOMCL3521	 -5752.086812
ORTHOMCL3522	 -2811.702576
ORTHOMCL3523	  -733.591321
ORTHOMCL3524	  -521.401246
ORTHOMCL3525	 -2523.686254
ORTHOMCL3526	 -1245.990945
ORTHOMCL3527	  -366.373518
ORTHOMCL3528	 -3685.017741
ORTHOMCL3529	 -1529.923322
ORTHOMCL3531	  -834.837945
ORTHOMCL3532	 -3242.145504
ORTHOMCL3533	 -5660.860868
ORTHOMCL3534	 -1934.779111
ORTHOMCL3535	 -6054.583084
ORTHOMCL3536	 -1163.318059
ORTHOMCL3537	 -1385.128900
ORTHOMCL3538	 -5392.067556
ORTHOMCL3539	 -3983.509759
ORTHOMCL3540	 -3861.308871
ORTHOMCL3541	 -3982.506751
ORTHOMCL3542	 -12894.149891
