ID	lnL
ORTHOMCL3210	 -5166.735849
ORTHOMCL3212	 -4325.945930
ORTHOMCL3213	 -5412.165379
ORTHOMCL3214	 -12834.129877
ORTHOMCL3215	
ORTHOMCL3217	 -3559.081376
ORTHOMCL3218	 -4427.714593
ORTHOMCL3220	 -2572.037066
ORTHOMCL3221	 -4427.076439
ORTHOMCL3222	
ORTHOMCL3223	 -2569.524592
ORTHOMCL3224	 -2609.860073
ORTHOMCL3227	 -2928.090139
ORTHOMCL3230	 -1803.515206
ORTHOMCL3232	 -2969.993176
ORTHOMCL3233	 -1192.148253
ORTHOMCL3234	 -1718.486798
ORTHOMCL3235	 -2727.696848
ORTHOMCL3236	 -3591.908030
ORTHOMCL3239	 -1925.140483
ORTHOMCL3240	
ORTHOMCL3241	 -3955.819369
ORTHOMCL3243	
ORTHOMCL3244	 -5013.370267
ORTHOMCL3246	 -1729.108227
ORTHOMCL3247	 -2242.294799
ORTHOMCL3248	 -4690.913978
ORTHOMCL3249	 -4082.369029
ORTHOMCL3250	 -3059.944819
ORTHOMCL3251	 -3943.279031
ORTHOMCL3252	 -1592.535608
ORTHOMCL3254	 -2638.566242
ORTHOMCL3255	 -5136.570381
ORTHOMCL3256	 -3737.887352
ORTHOMCL3259	 -2383.013890
ORTHOMCL3260	 -1436.734395
ORTHOMCL3262	 -5917.075134
ORTHOMCL3263	 -2963.295360
ORTHOMCL3264	 -3159.826385
ORTHOMCL3265	 -1212.090364
ORTHOMCL3268	  -179.245292
ORTHOMCL3269	 -2937.298649
ORTHOMCL3270	 -7191.288976
ORTHOMCL3271	 -1759.292848
ORTHOMCL3272	 -1977.068582
ORTHOMCL3273	 -1496.362246
ORTHOMCL3275	 -1767.160182
ORTHOMCL3276	 -7012.385712
ORTHOMCL3278	 -4558.628021
ORTHOMCL3279	 -3183.854611
ORTHOMCL3280	 -2172.244882
ORTHOMCL3281	 -6591.053508
ORTHOMCL3282	 -1710.335325
ORTHOMCL3284	 -1902.090572
ORTHOMCL3285	  -905.004832
ORTHOMCL3286	 -3010.913535
ORTHOMCL3287	
ORTHOMCL3290	 -1568.969834
ORTHOMCL3291	 -1482.673279
ORTHOMCL3292	 -3756.028857
ORTHOMCL3293	 -3641.138106
ORTHOMCL3294	 -4580.857903
ORTHOMCL3295	 -3407.846082
ORTHOMCL3297	 -5980.057584
ORTHOMCL3298	 -7389.766864
ORTHOMCL3300	 -6206.732754
ORTHOMCL3301	 -1492.461783
ORTHOMCL3303	 -1936.036391
ORTHOMCL3304	 -1651.076173
ORTHOMCL3307	 -4062.680530
ORTHOMCL3309	 -2796.262314
ORTHOMCL3310	 -3340.786818
ORTHOMCL3313	 -1435.991557
ORTHOMCL3316	 -6300.072123
ORTHOMCL3317	 -2348.139707
ORTHOMCL3318	 -1690.453345
ORTHOMCL3319	 -1923.178360
ORTHOMCL3320	
ORTHOMCL3321	
ORTHOMCL3322	 -3423.647325
ORTHOMCL3323	 -2099.535694
ORTHOMCL3324	 -1944.167703
ORTHOMCL3326	 -1850.582590
ORTHOMCL3327	 -2780.717689
ORTHOMCL3328	 -2620.937155
ORTHOMCL3329	
ORTHOMCL3330	 -1678.564985
ORTHOMCL3331	 -2700.359891
ORTHOMCL3332	 -2492.268137
ORTHOMCL3333	 -3415.006615
ORTHOMCL3335	 -2686.461831
ORTHOMCL3336	 -5715.882345
ORTHOMCL3337	 -3746.947595
ORTHOMCL3338	 -1505.630323
ORTHOMCL3339	 -2032.331728
ORTHOMCL3340	 -2287.104970
ORTHOMCL3341	 -5663.669798
ORTHOMCL3342	 -3958.213135
ORTHOMCL3343	 -6050.629253
ORTHOMCL3344	 -5106.027110
ORTHOMCL3345	 -3261.095358
ORTHOMCL3346	 -1296.641839
ORTHOMCL3347	  -800.183718
ORTHOMCL3348	 -1734.578909
ORTHOMCL3349	 -2867.270014
ORTHOMCL3350	
ORTHOMCL3351	 -1238.812352
ORTHOMCL3352	 -1761.547397
ORTHOMCL3353	 -2360.014591
ORTHOMCL3354	 -2486.066792
ORTHOMCL3355	 -3107.354572
ORTHOMCL3357	 -7893.106110
ORTHOMCL3358	 -2096.834071
ORTHOMCL3360	  -961.900201
ORTHOMCL3361	 -8379.005486
ORTHOMCL3362	 -1527.258406
ORTHOMCL3363	 -7103.222545
ORTHOMCL3364	 -4209.215199
ORTHOMCL3366	 -5458.578567
ORTHOMCL3367	 -2480.346634
ORTHOMCL3368	 -6087.722720
ORTHOMCL3369	 -2218.621723
ORTHOMCL3371	 -4462.641590
ORTHOMCL3374	  -647.221231
ORTHOMCL3376	 -1349.311040
ORTHOMCL3377	 -4984.573049
ORTHOMCL3379	 -1111.445820
ORTHOMCL3380	 -1209.196265
ORTHOMCL3381	 -1289.074914
ORTHOMCL3382	
ORTHOMCL3384	 -3846.328133
ORTHOMCL3385	 -3489.588405
ORTHOMCL3387	 -2590.498040
ORTHOMCL3388	 -8746.387093
ORTHOMCL3389	 -2550.778359
ORTHOMCL3391	 -2599.892068
ORTHOMCL3392	 -5519.382837
ORTHOMCL3394	 -3358.648507
ORTHOMCL3395	 -3314.370577
ORTHOMCL3396	 -1238.050228
ORTHOMCL3398	 -7682.536046
ORTHOMCL3399	   -77.604005
ORTHOMCL3402	 -1398.630088
ORTHOMCL3403	 -4646.632665
ORTHOMCL3406	 -10925.678678
ORTHOMCL3408	 -8202.799282
ORTHOMCL3409	  -750.109766
ORTHOMCL3410	
ORTHOMCL3411	 -3530.350128
ORTHOMCL3415	 -4076.976493
ORTHOMCL3416	 -2565.376200
ORTHOMCL3417	 -6366.265425
ORTHOMCL3419	 -5556.448077
ORTHOMCL3422	 -2541.652220
ORTHOMCL3423	 -2093.202877
ORTHOMCL3424	 -1373.285990
ORTHOMCL3425	 -8974.665211
ORTHOMCL3427	 -2145.796279
ORTHOMCL3429	 -8088.399153
ORTHOMCL3430	 -2859.061960
ORTHOMCL3431	 -1962.265006
ORTHOMCL3433	 -2873.698082
ORTHOMCL3435	 -9152.420350
ORTHOMCL3436	 -2578.758958
ORTHOMCL3439	
ORTHOMCL3440	 -2477.459383
ORTHOMCL3441	 -2517.249668
ORTHOMCL3442	
ORTHOMCL3444	 -1084.623187
ORTHOMCL3445	 -4647.869549
ORTHOMCL3446	 -13431.876635
ORTHOMCL3447	 -1881.135459
ORTHOMCL3448	 -2476.844932
ORTHOMCL3449	 -6194.780867
ORTHOMCL3450	 -3456.002621
ORTHOMCL3451	 -5842.213141
ORTHOMCL3452	
ORTHOMCL3454	 -1017.409075
ORTHOMCL3455	 -2140.059684
ORTHOMCL3457	 -19694.434740
ORTHOMCL3459	
ORTHOMCL3460	 -3376.742085
ORTHOMCL3461	 -4390.139604
ORTHOMCL3462	 -2218.384965
ORTHOMCL3463	 -2227.794785
ORTHOMCL3464	 -8815.982561
ORTHOMCL3465	 -5863.444144
ORTHOMCL3466	 -4512.141758
ORTHOMCL3468	 -5499.928459
ORTHOMCL3469	 -1953.436714
ORTHOMCL3471	 -3081.130536
ORTHOMCL3473	 -10070.894736
ORTHOMCL3474	 -4502.938749
ORTHOMCL3475	 -3481.855674
ORTHOMCL3476	 -3003.796892
ORTHOMCL3477	 -1212.103373
ORTHOMCL3478	 -1142.735457
ORTHOMCL3479	 -3742.417490
ORTHOMCL3480	 -4233.901292
ORTHOMCL3481	 -3041.755843
ORTHOMCL3482	 -1735.554117
ORTHOMCL3483	 -3481.758370
ORTHOMCL3484	 -4159.596146
ORTHOMCL3485	 -7236.122991
ORTHOMCL3486	 -1371.526403
ORTHOMCL3487	 -1898.483623
ORTHOMCL3488	 -2209.187487
ORTHOMCL3489	
ORTHOMCL3490	 -2452.757194
ORTHOMCL3491	 -1982.859563
ORTHOMCL3492	 -1770.924124
ORTHOMCL3493	 -2815.475650
ORTHOMCL3494	 -4237.192696
ORTHOMCL3495	 -2691.362288
ORTHOMCL3496	 -2104.068238
ORTHOMCL3497	 -3673.389892
ORTHOMCL3498	 -3032.879894
ORTHOMCL3500	 -2248.509625
ORTHOMCL3501	 -5454.660003
ORTHOMCL3502	 -2532.150305
ORTHOMCL3503	 -4494.952492
ORTHOMCL3505	 -4860.960459
ORTHOMCL3507	 -8726.123328
ORTHOMCL3508	 -1125.745360
ORTHOMCL3510	 -3688.324893
ORTHOMCL3512	 -6808.789032
ORTHOMCL3513	 -10928.650154
ORTHOMCL3515	 -2442.054243
ORTHOMCL3516	 -4953.689865
ORTHOMCL3517	 -1414.143642
ORTHOMCL3518	 -8921.606385
ORTHOMCL3519	
ORTHOMCL3520	 -1078.767361
ORTHOMCL3521	 -5758.698821
ORTHOMCL3522	 -2811.702576
ORTHOMCL3523	  -733.591317
ORTHOMCL3524	  -521.400458
ORTHOMCL3525	 -2528.167809
ORTHOMCL3526	 -1245.990945
ORTHOMCL3527	  -363.324334
ORTHOMCL3528	 -3685.017741
ORTHOMCL3529	 -1529.923322
ORTHOMCL3531	  -834.837945
ORTHOMCL3532	 -3245.170541
ORTHOMCL3533	 -5660.860868
ORTHOMCL3534	 -1934.779111
ORTHOMCL3535	 -6054.583084
ORTHOMCL3536	 -1163.318060
ORTHOMCL3537	 -1385.128900
ORTHOMCL3538	 -5392.067556
ORTHOMCL3539	 -3983.509759
ORTHOMCL3540	 -3861.308871
ORTHOMCL3541	 -3982.506751
ORTHOMCL3542	 -12902.796751
ORTHOMCL3543	 -6049.092747
ORTHOMCL3544	 -3548.731237
ORTHOMCL3546	 -4252.292855
ORTHOMCL3547	 -4981.632056
ORTHOMCL3548	 -7337.569153
ORTHOMCL3550	 -3579.012893
ORTHOMCL3551	
ORTHOMCL3552	 -2332.072703
ORTHOMCL3553	 -2891.616215
ORTHOMCL3554	 -2764.931078
ORTHOMCL3555	 -2839.060427
ORTHOMCL3556	 -7367.860547
ORTHOMCL3557	  -164.688329
ORTHOMCL3559	 -4305.851061
ORTHOMCL3560	  -916.066366
ORTHOMCL3562	
ORTHOMCL3563	 -1358.805425
ORTHOMCL3565	 -4879.016536
ORTHOMCL3566	
ORTHOMCL3567	 -2701.328975
ORTHOMCL3568	 -5538.000944
ORTHOMCL3570	 -10431.048413
ORTHOMCL3571	 -3902.702284
ORTHOMCL3572	 -1849.680376
ORTHOMCL3575	 -2833.126742
ORTHOMCL3577	 -3087.947338
ORTHOMCL3578	 -4274.173102
ORTHOMCL3579	 -2973.603584
ORTHOMCL3580	 -3305.147120
ORTHOMCL3582	 -1846.912095
ORTHOMCL3583	 -1977.334452
ORTHOMCL3584	 -1373.340212
ORTHOMCL3585	  -818.120846
ORTHOMCL3586	
ORTHOMCL3587	  -739.361879
ORTHOMCL3588	 -2064.760337
ORTHOMCL3589	 -2108.671582
ORTHOMCL3590	 -6380.114834
ORTHOMCL3592	 -3432.514063
ORTHOMCL3593	 -4598.491354
ORTHOMCL3594	 -3811.221950
ORTHOMCL3595	 -3834.441996
ORTHOMCL3597	 -3579.467956
ORTHOMCL3598	 -2667.771013
ORTHOMCL3599	 -7043.955374
ORTHOMCL3600	 -1803.655710
ORTHOMCL3601	
ORTHOMCL3603	
ORTHOMCL3605	 -5674.347991
ORTHOMCL3608	 -1615.778164
ORTHOMCL3609	 -7516.047220
ORTHOMCL3610	 -2853.517699
ORTHOMCL3611	 -3895.641275
ORTHOMCL3612	 -4278.311449
ORTHOMCL3615	
ORTHOMCL3616	 -2819.730944
ORTHOMCL3617	 -4812.306774
ORTHOMCL3618	 -1708.336122
ORTHOMCL3619	 -3141.415602
ORTHOMCL3620	 -2852.976578
ORTHOMCL3622	 -6053.502426
ORTHOMCL3623	 -2027.268000
ORTHOMCL3625	 -2802.612533
ORTHOMCL3626	  -539.941215
ORTHOMCL3627	 -2646.560727
ORTHOMCL3628	 -2694.560696
ORTHOMCL3629	 -2969.532514
ORTHOMCL3630	  -907.894369
ORTHOMCL3632	 -3910.692139
