ID	lnL
ORTHOMCL10000	 -2652.610590
ORTHOMCL10001	 -1497.638651
ORTHOMCL10002	 -4351.144254
ORTHOMCL10003	 -3495.177958
ORTHOMCL10004	 -1070.052246
ORTHOMCL10005	 -2622.033036
ORTHOMCL10006	 -1328.307059
ORTHOMCL10007	 -1353.831170
ORTHOMCL10008	
ORTHOMCL10009	 -1411.988306
ORTHOMCL10010	 -1725.726429
ORTHOMCL10011	 -1354.443370
ORTHOMCL10012	  -982.367724
ORTHOMCL10013	  -979.069372
ORTHOMCL10014	  -749.088140
ORTHOMCL10016	
ORTHOMCL10017	
ORTHOMCL10018	  -182.201390
ORTHOMCL10019	 -1265.279888
ORTHOMCL10020	 -1808.658536
ORTHOMCL10021	 -1376.664063
ORTHOMCL10022	 -2294.433142
ORTHOMCL10023	
ORTHOMCL10025	 -2035.574372
ORTHOMCL10026	 -2266.266098
ORTHOMCL10027	 -2553.246057
ORTHOMCL10028	 -1503.851488
ORTHOMCL10029	 -1059.238428
ORTHOMCL1003	 -8662.039275
ORTHOMCL10030	 -2118.224785
ORTHOMCL10032	  -712.919256
ORTHOMCL10033	 -1163.094229
ORTHOMCL10034	 -3845.938276
ORTHOMCL10035	 -2453.556250
ORTHOMCL10036	 -1857.608074
ORTHOMCL10037	 -3016.853924
ORTHOMCL10038	 -2036.707055
ORTHOMCL10039	 -1659.975803
ORTHOMCL10040	 -2911.949554
ORTHOMCL10041	 -3156.249179
ORTHOMCL10042	 -1444.320243
ORTHOMCL10043	  -772.280602
ORTHOMCL10044	
ORTHOMCL10045	 -1297.544043
ORTHOMCL10046	 -1024.431535
ORTHOMCL10047	 -1223.782343
ORTHOMCL10048	 -2099.916808
ORTHOMCL10049	 -1627.091890
ORTHOMCL1005	
ORTHOMCL10050	  -896.776804
ORTHOMCL10051	  -749.771141
ORTHOMCL10052	  -514.714191
ORTHOMCL10053	 -2576.921471
ORTHOMCL10054	  -732.914598
ORTHOMCL10055	  -486.167277
ORTHOMCL10056	 -2336.264088
ORTHOMCL10057	 -3091.148369
ORTHOMCL10058	 -1175.274327
ORTHOMCL10059	  -567.705880
ORTHOMCL1006	 -5464.414554
ORTHOMCL10060	  -480.436267
ORTHOMCL10061	
ORTHOMCL10062	  -940.423903
ORTHOMCL10063	 -1289.109722
ORTHOMCL10064	 -2177.327839
ORTHOMCL10065	 -1755.582073
ORTHOMCL10066	  -499.123880
ORTHOMCL10067	 -5579.024941
ORTHOMCL10068	   -22.568470
ORTHOMCL10069	 -4344.030865
ORTHOMCL1007	
ORTHOMCL10071	 -1723.528020
ORTHOMCL10072	  -485.911227
ORTHOMCL10073	  -993.893837
ORTHOMCL10074	 -2986.178254
ORTHOMCL10077	
ORTHOMCL10078	 -3552.782513
ORTHOMCL10079	 -4707.052405
ORTHOMCL1008	 -2157.903266
ORTHOMCL10080	 -3293.351148
ORTHOMCL10081	
ORTHOMCL10082	  -486.720474
ORTHOMCL10083	 -3905.287833
ORTHOMCL10084	 -2924.159485
ORTHOMCL10085	  -689.204084
ORTHOMCL10086	 -2748.608870
ORTHOMCL10087	 -2807.581406
ORTHOMCL10088	  -975.466664
ORTHOMCL10089	
ORTHOMCL1009	 -2796.559990
ORTHOMCL10090	  -795.320539
ORTHOMCL10091	 -2521.016713
ORTHOMCL10092	 -2549.250976
ORTHOMCL10093	  -624.500490
ORTHOMCL10094	 -1128.863408
ORTHOMCL10095	 -3855.784250
ORTHOMCL10096	 -1169.321438
ORTHOMCL10097	 -2884.822547
ORTHOMCL10098	 -1514.600237
ORTHOMCL10099	 -2819.863738
ORTHOMCL1010	 -2817.399458
ORTHOMCL10100	 -1883.330952
ORTHOMCL10101	  -598.073813
ORTHOMCL10102	 -3413.355453
ORTHOMCL10103	 -2342.233031
ORTHOMCL10104	 -1434.374135
ORTHOMCL10105	 -1878.166368
ORTHOMCL10106	
ORTHOMCL10107	 -1245.265667
ORTHOMCL10108	 -2695.986817
ORTHOMCL10109	 -3274.970091
ORTHOMCL10110	 -2375.073488
ORTHOMCL10111	 -1066.048792
ORTHOMCL10112	 -1800.075339
ORTHOMCL10113	 -2426.977629
ORTHOMCL10114	 -1242.707053
ORTHOMCL10115	 -7010.746078
ORTHOMCL10116	 -1217.983038
ORTHOMCL10117	 -1865.356045
ORTHOMCL10118	 -2250.070764
ORTHOMCL10119	 -2932.134249
ORTHOMCL1012	 -7605.069197
ORTHOMCL10120	
ORTHOMCL10121	 -1926.328339
ORTHOMCL10122	 -1166.608908
ORTHOMCL10123	 -2431.391952
ORTHOMCL10124	 -1227.939012
ORTHOMCL10125	 -2725.092057
ORTHOMCL10126	
ORTHOMCL10127	
ORTHOMCL10128	  -795.488333
ORTHOMCL10129	  -493.494931
ORTHOMCL1013	 -10028.504710
ORTHOMCL10130	 -2671.262932
ORTHOMCL10131	 -4225.748464
ORTHOMCL10132	 -1933.033662
ORTHOMCL10133	  -672.792101
ORTHOMCL10134	 -1987.544501
ORTHOMCL10135	
ORTHOMCL10137	 -2600.534625
ORTHOMCL10138	 -3288.282058
ORTHOMCL10139	 -1800.238854
ORTHOMCL10140	  -449.579437
ORTHOMCL10141	
ORTHOMCL10142	 -1940.100700
ORTHOMCL10143	 -1727.275839
ORTHOMCL10144	 -1103.402029
ORTHOMCL10146	  -409.357640
ORTHOMCL10147	 -1221.896574
ORTHOMCL10148	 -4310.811038
ORTHOMCL10149	 -1531.991090
ORTHOMCL10150	   -55.503386
ORTHOMCL10151	  -388.239051
ORTHOMCL10152	 -1154.962757
ORTHOMCL10153	
ORTHOMCL10154	 -4410.220406
ORTHOMCL10155	 -2615.819094
ORTHOMCL10156	 -1903.219791
ORTHOMCL10157	 -1043.019714
ORTHOMCL10158	 -1770.088596
ORTHOMCL10159	
ORTHOMCL1016	 -2698.505827
ORTHOMCL10160	  -932.431907
ORTHOMCL10161	  -909.441352
ORTHOMCL10162	 -1571.203123
ORTHOMCL10163	  -621.361504
ORTHOMCL10164	  -368.576408
ORTHOMCL10165	 -1371.735468
ORTHOMCL10166	 -2516.556424
ORTHOMCL10167	 -1460.167238
ORTHOMCL10168	 -3950.560360
ORTHOMCL10169	  -713.098869
ORTHOMCL10170	 -2050.287926
ORTHOMCL10171	  -803.280723
ORTHOMCL10172	 -2227.193889
ORTHOMCL10173	
ORTHOMCL10174	 -2128.366636
ORTHOMCL10175	 -1364.501666
ORTHOMCL10176	  -820.827630
ORTHOMCL10177	 -1504.136314
ORTHOMCL10178	  -855.848039
ORTHOMCL10179	 -1802.167944
ORTHOMCL1018	  -985.486763
ORTHOMCL10180	 -3784.832696
ORTHOMCL10181	 -3167.282399
ORTHOMCL10182	  -324.207187
ORTHOMCL10183	 -2470.173936
ORTHOMCL10184	 -1834.904886
ORTHOMCL10185	  -838.766699
ORTHOMCL10186	
ORTHOMCL10187	  -865.555939
ORTHOMCL10188	 -2686.197078
ORTHOMCL10189	 -3137.297357
ORTHOMCL1019	 -4154.897647
ORTHOMCL10190	 -1162.263579
ORTHOMCL10191	 -4252.189695
ORTHOMCL10192	 -2015.822968
ORTHOMCL10193	
ORTHOMCL10194	 -2330.434409
ORTHOMCL10195	 -1600.889842
ORTHOMCL10196	 -1241.376774
ORTHOMCL10197	  -785.224151
ORTHOMCL10198	
ORTHOMCL10199	 -3448.797071
ORTHOMCL102	 -4548.072607
ORTHOMCL10200	 -2011.809816
ORTHOMCL10201	  -824.089331
ORTHOMCL10202	 -1329.083658
ORTHOMCL10203	   -28.289594
ORTHOMCL10204	 -1077.439220
ORTHOMCL10205	 -1209.964548
ORTHOMCL10206	  -850.252262
ORTHOMCL10207	  -918.332316
ORTHOMCL10208	 -2279.035010
ORTHOMCL10209	 -1572.563925
ORTHOMCL1021	
ORTHOMCL10210	 -4741.751445
ORTHOMCL10211	  -734.273186
ORTHOMCL10212	  -896.484464
ORTHOMCL10213	 -4889.359522
ORTHOMCL10214	 -3162.904116
ORTHOMCL10215	 -2156.872452
ORTHOMCL10217	  -800.919961
ORTHOMCL10218	 -1058.583166
ORTHOMCL10219	 -1754.702477
ORTHOMCL1022	 -2024.721455
ORTHOMCL10220	 -3888.203075
ORTHOMCL10221	  -640.554532
ORTHOMCL10222	 -1215.463023
ORTHOMCL10223	 -1598.290617
ORTHOMCL10224	 -9095.679890
ORTHOMCL10225	 -1432.911994
ORTHOMCL10226	 -2501.361845
ORTHOMCL10227	 -1969.390540
ORTHOMCL10228	 -1678.794918
ORTHOMCL10229	 -3470.991529
ORTHOMCL1023	 -1854.452832
ORTHOMCL10231	  -896.703236
ORTHOMCL10232	 -1685.510734
ORTHOMCL10233	 -1104.472751
ORTHOMCL10234	 -3701.400920
ORTHOMCL10235	 -1249.031052
