ID	lnL0	lnL1
ORTHOMCL3758	 -1682.158146	 -1685.789624
ORTHOMCL4985	 -4258.989499	 -4259.629094
ORTHOMCL3947	 -1355.842291	 -1355.937624
ORTHOMCL3616	 -2819.730205	 -2821.308101
ORTHOMCL3755	 -6155.823003	 -6160.139636
ORTHOMCL3357	 -7887.001560	 -7889.173112
ORTHOMCL4700	 -1795.153821	 -1796.486550
ORTHOMCL3866	 -4436.998895	 -4438.559803
ORTHOMCL4221	 -1311.805262	 -1311.892449
ORTHOMCL4029	 -3677.321859	 -3680.086773
ORTHOMCL4842	 -1885.655230	 -1887.147993
ORTHOMCL3532	 -3242.145504	 -3243.135273
ORTHOMCL3213	 -5412.165379	 -5412.979658
ORTHOMCL4800	 -7931.911484	 -7932.291688
ORTHOMCL5045	 -3979.696335	 -3981.130917
ORTHOMCL3641	 -3260.767686	 -3261.940270
ORTHOMCL4252	 -1281.297835	 -1281.297835
ORTHOMCL4524	 -4544.159150	 -4555.560803
ORTHOMCL3246	 -1729.108227	 -1729.769097
ORTHOMCL4191	 -8628.988949	 -8636.782849
ORTHOMCL4875	 -5940.740547	 -5943.944273
ORTHOMCL4995	 -4781.897943	 -4790.530135
ORTHOMCL3939	 -1934.674447	 -1935.427541
ORTHOMCL3605	 -5674.347991	 -5679.561050
ORTHOMCL4934	 -7657.469369	 -7660.038844
ORTHOMCL3230	 -1803.515199	 -1805.107106
ORTHOMCL3533	 -5660.860868	 -5667.605140
ORTHOMCL4113	 -3125.004107	 -3128.225603
ORTHOMCL3593	 -4598.491354	 -4603.304262
ORTHOMCL4108	 -2179.782614	 -2180.181482
ORTHOMCL4366	 -2049.285221	 -2050.450494
ORTHOMCL3793	 -2620.744835	 -2624.319996
ORTHOMCL3388	 -8746.387093	 -8747.753095
ORTHOMCL4888	 -3252.483604	 -3252.951127
ORTHOMCL3540	 -3861.308871	 -3863.296896
ORTHOMCL3938	 -2189.110241	 -2189.228365
ORTHOMCL3618	 -1708.336122	 -1708.827791
ORTHOMCL3942	  -641.067856	  -641.739156
ORTHOMCL4393	 -4524.195531	 -4526.881179
ORTHOMCL3241	 -3955.820202	 -3957.917311
ORTHOMCL3395	 -3314.370577	 -3315.343731
ORTHOMCL4589	 -3665.060728	 -3665.859368
ORTHOMCL3706	 -6299.371140	 -6304.094730
ORTHOMCL3823	 -2532.285493	 -2533.724424
ORTHOMCL3594	 -3811.227066	 -3812.111330
ORTHOMCL4659	 -1680.747625	 -1681.694451
ORTHOMCL3550	 -3579.012894	 -3582.639737
ORTHOMCL4626	 -4501.287381	 -4501.664635
ORTHOMCL3779	 -4411.511817	 -4411.841775
ORTHOMCL3875	 -11242.836486	 -11251.794515
ORTHOMCL5017	 -1666.452804	 -1668.709194
ORTHOMCL4245	  -500.166535	  -500.166535
ORTHOMCL4138	 -7041.573052	 -7041.573052
ORTHOMCL5016	 -3660.229238	 -3665.324196
ORTHOMCL4402	 -2137.266074	 -2139.491590
ORTHOMCL4079	 -1124.326365	 -1124.538307
ORTHOMCL4634	 -4374.181346	 -4381.715432
ORTHOMCL3454	 -1017.409075	 -1018.941507
ORTHOMCL4513	 -3846.683378	 -3850.735245
ORTHOMCL4756	 -2216.148666	 -2217.049064
ORTHOMCL4248	 -2920.223225	 -2920.272182
ORTHOMCL3919	 -4169.470183	 -4173.223340
ORTHOMCL4968	 -3605.004116	 -3605.431840
ORTHOMCL4554	 -4209.335935	 -4210.142002
ORTHOMCL4799	  -417.373654	  -421.646576
ORTHOMCL4494	 -2037.765494	 -2037.894883
ORTHOMCL4828	 -5758.323315	 -5758.544900
ORTHOMCL4939	 -5552.199566	 -5559.407735
ORTHOMCL4526	 -3776.174582	 -3779.164153
ORTHOMCL3930	 -7089.769727	 -7096.016720
ORTHOMCL4320	 -5547.827577	 -5548.449400
ORTHOMCL4745	 -6041.627454	 -6045.247524
ORTHOMCL4468	 -5230.830604	 -5235.700595
ORTHOMCL4424	 -5064.147207	 -5071.165314
ORTHOMCL4683	 -2495.332865	 -2495.332865
ORTHOMCL3703	 -2418.493002	 -2419.177780
ORTHOMCL3799	 -14189.279293	 -14196.831740
ORTHOMCL4704	 -3133.203004	 -3134.654195
ORTHOMCL4927	 -2936.039521	 -2936.126521
ORTHOMCL3377	 -4984.573049	 -4985.299160
ORTHOMCL4978	 -5422.863371	 -5429.028722
ORTHOMCL3705	 -1027.059012	 -1027.146021
ORTHOMCL3554	 -2764.931078	 -2765.862803
ORTHOMCL4600	  -695.909018	  -697.617309
ORTHOMCL3300	 -6208.657105	 -6208.068628
ORTHOMCL4823	 -2381.248341	 -2382.568539
ORTHOMCL3435	 -9152.420350	 -9158.137146
