ID	lnL0	lnL1
ORTHOMCL3548	 -7305.818941	 -7305.818941
ORTHOMCL4980	 -1385.177909	 -1385.177909
ORTHOMCL4541	 -10158.706234	 -10146.837557
ORTHOMCL3368	 -6095.310991	 -6095.310991
ORTHOMCL4500	  -954.359087	  -955.602681
ORTHOMCL3455	 -2137.819153	 -2135.401932
ORTHOMCL3388	 -8761.947405	 -8761.947405
ORTHOMCL3465	 -5897.367207	 -5897.367207
ORTHOMCL3645	 -3095.509184	 -3095.509184
ORTHOMCL5032	 -3446.109314	 -3446.109314
ORTHOMCL3988	 -1430.171367	 -1426.700480
ORTHOMCL3951	 -5659.109758	 -5659.109758
ORTHOMCL4116	  -395.485884	  -395.365102
ORTHOMCL3281	 -6594.506189	 -6594.506189
ORTHOMCL4796	  -355.532900	  -355.532900
ORTHOMCL4349	 -2997.404823	 -2997.404823
ORTHOMCL3402	 -1403.229701	 -1403.229701
ORTHOMCL3793	 -2621.654082	 -2621.654082
ORTHOMCL4494	 -2037.765494	 -2037.894883
ORTHOMCL4179	 -7484.902073	 -7484.902073
ORTHOMCL3771	 -2481.158312	 -2481.158312
ORTHOMCL4836	 -3824.066223	 -3824.066223
ORTHOMCL4786	 -3909.232421	 -3909.232421
ORTHOMCL3667	 -2391.198705	 -2391.198705
ORTHOMCL4841	 -5935.790851	 -5935.790851
ORTHOMCL4514	 -1813.847774	 -1813.847774
ORTHOMCL4816	 -1787.289250	 -1787.289250
ORTHOMCL4023	 -1676.970858	 -1676.970858
ORTHOMCL3244	 -5014.191257	 -5014.191257
ORTHOMCL4055	 -1503.197525	 -1503.197524
ORTHOMCL4564	 -2380.229525	 -2380.229525
ORTHOMCL3234	 -1722.835528	 -1722.835527
ORTHOMCL4736	 -6426.063470	 -6424.225003
ORTHOMCL5010	 -5623.259497	 -5623.259497
ORTHOMCL3507	 -8734.356519	 -8734.357484
ORTHOMCL3280	 -2177.889913	 -2177.889913
ORTHOMCL4648	 -1142.618933	 -1142.618933
ORTHOMCL4052	 -1938.335750	 -1938.335691
ORTHOMCL4079	 -1124.553234	 -1124.553234
ORTHOMCL3821	 -2532.040489	 -2532.040489
ORTHOMCL3259	 -2380.163838	 -2380.163838
ORTHOMCL3236	 -3585.882231	 -3585.882231
ORTHOMCL3332	 -2497.620055	 -2497.620055
ORTHOMCL3925	 -1639.368660	 -1639.368660
ORTHOMCL3542	 -12979.919692	 -12976.687367
ORTHOMCL3942	  -638.244985	  -638.244985
ORTHOMCL3980	 -1708.282049	 -1708.282049
ORTHOMCL4299	 -1504.062513	 -1504.062513
ORTHOMCL4633	 -2120.463820	 -2120.463820
ORTHOMCL3265	 -1219.539779	 -1219.539779
ORTHOMCL4508	 -1268.727191	 -1268.727267
ORTHOMCL4248	 -2928.433534	 -2928.433520
ORTHOMCL3220	 -2584.915973	 -2586.436632
